Agency Name,State Name [District] Latest available year,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2021-22,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2020-21,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2019-20,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2018-19,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2017-18,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2016-17,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2015-16
ACADEMY OF ACCELERATED LEARNING INC,Texas,–,9575,9602,9677,9645,8930,8043
ACADEMY OF BUILDING INDUSTRIES INC. (85540),Arizona,12279,28355,10591,10689,9626,7678,9010
ACADEMY OF CAREERS AND TECHNOLOGIES CHARTER SCHOOL,Texas,†,†,†,†,†,†,845
ACADEMY OF CONSTRUCTION AND ENGINEE,MINNESOTA,†,†,†,†,†,†,†
ACADEMY OF DALLAS,Texas,16918,10935,9306,9817,10667,10933,8879
ACADEMY OF DOVER CHARTER SCHOOL,Delaware,15920,12699,13023,11831,11104,12988,12725
ACADEMY OF EXCELLENCE  INC.,Arizona,†,†,†,†,†,11033,8930
ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL,NEW YORK,14347,13709,17709,†,†,†,†
ACADEMY OF HOPE ADULT PCS,DISTRICT OF COLUMBIA,–,†,–,–,†,†,–
ACADEMY OF INTERNATIONAL STUDIES,Michigan,†,†,†,†,†,†,9995
ACADEMY OF MATHEMATICS AND SCIENCE INC. (79961),Arizona,9694,12265,9377,25608,26670,15196,10069
ACADEMY OF MATHEMATICS AND SCIENCE INC. (92768),ARIZONA,9536,8790,7477,7334,16471,9087,20824
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH INC. (90878),Arizona,10426,34100,34388,19582,132978,7481,17657
ACADEMY OF MEDIA ARTS DISTRICT,CALIFORNIA,14781,15667,33452,–,†,†,†
ACADEMY OF PERSONALIZED EXCELLENCE,MINNESOTA,†,†,†,†,†,†,†
